,taskset,name,wcet,wcet_high,period,criticality
0,0,T0,1.6040978538280708,1.6040978538280708,25,LO
1,0,T1,14.539221612760652,14.539221612760652,775,LO
2,0,T2,0.2924552863204033,0.5849105726408066,50,HI
3,0,T3,24.216102487690105,48.43220497538021,150,HI
4,0,T4,0.605535623253356,0.605535623253356,125,LO
5,0,T5,1.4494114702705425,2.898822940541085,125,HI
6,0,T6,37.52842858829533,37.52842858829533,850,LO
7,0,T7,3.4497535050036054,6.899507010007211,200,HI
8,0,T8,3.4019985717146373,6.8039971434292745,500,HI
9,0,T9,34.5034977468088,34.5034977468088,425,LO
10,0,T10,3.780087668827328,3.780087668827328,250,LO
11,0,T11,0.37963658638000275,0.7592731727600055,325,HI
12,0,T12,0.35433258022603,0.70866516045206,900,HI
13,0,T13,34.108472764871884,68.21694552974377,775,HI
14,0,T14,27.4545653304426,27.4545653304426,375,LO
15,0,T15,4.309516620999353,8.619033241998705,100,HI
16,0,T16,2.8446510435932835,5.689302087186567,75,HI
17,0,T17,18.1620218920816,18.1620218920816,675,LO
18,0,T18,7.631714231005352,15.263428462010705,225,HI
19,0,T19,1.0254159658525286,2.050831931705057,125,HI
20,1,T0,1.267884160397359,1.267884160397359,500,LO
21,1,T1,64.13679732475337,64.13679732475337,475,LO
22,1,T2,10.264079323812489,20.528158647624977,825,HI
23,1,T3,22.31277418543691,44.62554837087382,600,HI
24,1,T4,12.144920086601797,12.144920086601797,400,LO
25,1,T5,12.052015484701373,24.104030969402746,775,HI
26,1,T6,0.8863613705801507,0.8863613705801507,25,LO
27,1,T7,2.2947819637771705,2.2947819637771705,225,LO
28,1,T8,4.876642241704809,4.876642241704809,100,LO
29,1,T9,11.468494372205326,22.93698874441065,275,HI
30,1,T10,13.48787492095977,26.97574984191954,525,HI
31,1,T11,1.6711517657602233,3.3423035315204466,75,HI
32,1,T12,18.623026861740534,37.24605372348107,225,HI
33,1,T13,7.736902292836266,15.473804585672532,925,HI
34,1,T14,14.471538653900918,28.943077307801836,425,HI
35,1,T15,61.36557294143931,122.73114588287862,625,HI
36,1,T16,0.5023960817464312,0.5023960817464312,25,LO
37,1,T17,7.5599949468184136,15.119989893636827,475,HI
38,1,T18,4.7335094055983555,4.7335094055983555,350,LO
39,1,T19,2.4738366269782066,4.947673253956413,250,HI
40,2,T0,8.259342028818429,16.518684057636857,850,HI
41,2,T1,9.099930838091103,18.199861676182206,625,HI
42,2,T2,24.78398431133616,24.78398431133616,375,LO
43,2,T3,34.76215089115832,69.52430178231664,425,HI
44,2,T4,17.82051367404257,35.64102734808514,700,HI
45,2,T5,2.708929602838989,5.417859205677978,50,HI
46,2,T6,20.640248352433343,41.280496704866685,600,HI
47,2,T7,14.667703660107346,29.335407320214692,900,HI
48,2,T8,11.179919638551771,22.359839277103543,350,HI
49,2,T9,4.034259783240812,4.034259783240812,100,LO
50,2,T10,2.599566944102792,2.599566944102792,775,LO
51,2,T11,4.300287190730952,8.600574381461904,375,HI
52,2,T12,4.233123247163246,8.466246494326493,125,HI
53,2,T13,5.054481559866326,10.108963119732651,75,HI
54,2,T14,4.632914611955041,9.265829223910082,275,HI
55,2,T15,1.2377919028318418,1.2377919028318418,100,LO
56,2,T16,51.35492555328393,51.35492555328393,950,LO
57,2,T17,42.28699677157531,84.57399354315062,600,HI
58,2,T18,33.32992053259397,33.32992053259397,625,LO
59,2,T19,0.5127689483115803,1.0255378966231605,250,HI
60,3,T0,11.731361510735589,11.731361510735589,325,LO
61,3,T1,20.862153239632416,20.862153239632416,325,LO
62,3,T2,15.835017050199063,31.670034100398126,925,HI
63,3,T3,33.33426245193228,66.66852490386457,825,HI
64,3,T4,14.299238707848264,14.299238707848264,150,LO
65,3,T5,9.04324169599881,18.08648339199762,850,HI
66,3,T6,4.534459975911302,9.068919951822604,425,HI
67,3,T7,29.030937584392014,58.06187516878403,800,HI
68,3,T8,42.38440062110449,84.76880124220898,950,HI
69,3,T9,2.1549667348116586,2.1549667348116586,150,LO
70,3,T10,0.8768862624516427,0.8768862624516427,100,LO
71,3,T11,4.1726362517043505,4.1726362517043505,325,LO
72,3,T12,17.460597792162872,17.460597792162872,450,LO
73,3,T13,0.013179609884308996,0.026359219768617992,25,HI
74,3,T14,8.42322024289018,8.42322024289018,150,LO
75,3,T15,30.942109919169017,30.942109919169017,375,LO
76,3,T16,21.96593026057839,43.93186052115678,675,HI
77,3,T17,11.358664652308097,11.358664652308097,325,LO
78,3,T18,3.52317237888292,3.52317237888292,550,LO
79,3,T19,24.131595277414128,24.131595277414128,425,LO
80,4,T0,11.490109017212703,11.490109017212703,1000,LO
81,4,T1,1.9989021016708797,1.9989021016708797,75,LO
82,4,T2,15.483945362985931,30.967890725971863,225,HI
83,4,T3,98.85608755099538,98.85608755099538,950,LO
84,4,T4,6.961238499688068,6.961238499688068,525,LO
85,4,T5,15.890587021839778,31.781174043679556,875,HI
86,4,T6,4.873778325191109,9.747556650382219,75,HI
87,4,T7,31.67962691172826,63.35925382345652,975,HI
88,4,T8,9.466100497807634,9.466100497807634,500,LO
89,4,T9,0.072178931370942,0.072178931370942,50,LO
90,4,T10,23.088932367977925,23.088932367977925,725,LO
91,4,T11,16.602616133833028,16.602616133833028,525,LO
92,4,T12,6.147255218568843,12.294510437137687,675,HI
93,4,T13,28.601596097922226,57.20319219584445,925,HI
94,4,T14,29.46966771795598,29.46966771795598,700,LO
95,4,T15,61.508398446985716,61.508398446985716,600,LO
96,4,T16,19.139210605325367,19.139210605325367,600,LO
97,4,T17,25.13269044958581,50.26538089917162,550,HI
98,4,T18,0.010901759185743707,0.010901759185743707,25,LO
99,4,T19,3.3917746478048185,3.3917746478048185,250,LO
100,5,T0,7.797941026409783,7.797941026409783,200,LO
101,5,T1,1.3706475977939254,1.3706475977939254,475,LO
102,5,T2,27.1568441392368,54.3136882784736,825,HI
103,5,T3,18.722874209288822,37.445748418577644,625,HI
104,5,T4,24.764117134577706,24.764117134577706,925,LO
105,5,T5,15.449150137622297,30.898300275244594,575,HI
106,5,T6,2.7163127859374607,5.4326255718749215,25,HI
107,5,T7,5.602519732687758,11.205039465375515,625,HI
108,5,T8,35.21367900675636,70.42735801351272,950,HI
109,5,T9,4.867182218492999,9.734364436985999,250,HI
110,5,T10,32.97331826893315,32.97331826893315,575,LO
111,5,T11,6.141585748218667,12.283171496437333,225,HI
112,5,T12,10.063037660440644,20.126075320881288,600,HI
113,5,T13,9.00528489565125,18.0105697913025,725,HI
114,5,T14,17.66677924838196,35.33355849676392,425,HI
115,5,T15,6.956060461102393,6.956060461102393,250,LO
116,5,T16,53.676882802632285,107.35376560526457,500,HI
117,5,T17,2.8564217593475,5.712843518695,100,HI
118,5,T18,8.227855147367777,8.227855147367777,200,LO
119,5,T19,6.994926994302803,13.989853988605606,975,HI
120,6,T0,2.4547402536261864,2.4547402536261864,75,LO
121,6,T1,7.1032113266886885,14.206422653377377,625,HI
122,6,T2,9.165697148186394,18.33139429637279,125,HI
123,6,T3,14.243072577926426,14.243072577926426,225,LO
124,6,T4,7.357165334423592,7.357165334423592,375,LO
125,6,T5,48.35225587735922,48.35225587735922,900,LO
126,6,T6,15.75313874376491,15.75313874376491,925,LO
127,6,T7,2.5864500496232816,2.5864500496232816,375,LO
128,6,T8,138.01347891108043,276.02695782216085,700,HI
129,6,T9,40.96077106605789,81.92154213211577,950,HI
130,6,T10,3.0024390225707513,3.0024390225707513,175,LO
131,6,T11,8.12449759092969,8.12449759092969,825,LO
132,6,T12,17.901798519469626,17.901798519469626,825,LO
133,6,T13,31.24208107378229,31.24208107378229,825,LO
134,6,T14,42.955179023416264,85.91035804683253,975,HI
135,6,T15,3.33493297616533,6.66986595233066,675,HI
136,6,T16,6.381969852973138,6.381969852973138,1000,LO
137,6,T17,3.267069487930225,6.53413897586045,550,HI
138,6,T18,19.991311176970697,39.982622353941395,850,HI
139,6,T19,5.6733429384959475,5.6733429384959475,550,LO
140,7,T0,3.004729201833478,6.009458403666956,500,HI
141,7,T1,0.1108982940959291,0.2217965881918582,150,HI
142,7,T2,7.979055204269142,15.958110408538284,50,HI
143,7,T3,10.256903948653553,20.513807897307107,475,HI
